date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:47:09	37694/37694	---M--	200	added ('OK')	image/jpeg	date:Sat,%2001%20Feb%202020%2000:35:56%20GMT	https://www.senbokuhome.co.jp/files/News/165/rel2_link_image/package-1.jpg	C:/My%20Web%20Sites/copysite_fame_kensetsu/www.senbokuhome.co.jp/files/News/165/rel2_link_image/package-1.jpg	(from https://www.senbokuhome.co.jp/news/detail/165)
13:47:09	451430/451430	---M--	200	added ('OK')	image/jpeg	date:Sat,%2001%20Feb%202020%2001:28:39%20GMT	https://www.senbokuhome.co.jp/files/News/165/para2_file/news-2-08.jpg	C:/My%20Web%20Sites/copysite_fame_kensetsu/www.senbokuhome.co.jp/files/News/165/para2_file/news-2-08.jpg	(from https://www.senbokuhome.co.jp/news/detail/165)
13:47:09	85130/85130	---M--	200	added ('OK')	image/jpeg	date:Sat,%2001%20Feb%202020%2000:35:56%20GMT	https://www.senbokuhome.co.jp/files/News/165/rel3_link_image/Visitors_Book.jpg	C:/My%20Web%20Sites/copysite_fame_kensetsu/www.senbokuhome.co.jp/files/News/165/rel3_link_image/Visitors_Book.jpg	(from https://www.senbokuhome.co.jp/news/detail/165)
13:47:09	717209/717209	---M--	200	added ('OK')	image/jpeg	date:Sat,%2001%20Feb%202020%2000:43:33%20GMT	https://www.senbokuhome.co.jp/files/News/165/para1_file/US%20Letter.jpg	C:/My%20Web%20Sites/copysite_fame_kensetsu/www.senbokuhome.co.jp/files/News/165/para1_file/US%20Letter.jpg	(from https://www.senbokuhome.co.jp/news/detail/165)
13:47:10	310250/310250	---M--	200	added ('OK')	image/jpeg	date:Sat,%2001%20Feb%202020%2008:35:02%20GMT	https://www.senbokuhome.co.jp/files/News/166/rel1_link_image/news-3-4.jpg	C:/My%20Web%20Sites/copysite_fame_kensetsu/www.senbokuhome.co.jp/files/News/166/rel1_link_image/news-3-4.jpg	(from https://www.senbokuhome.co.jp/news/detail/166)
13:47:10	37694/37694	---M--	200	added ('OK')	image/jpeg	date:Sat,%2001%20Feb%202020%2008:35:02%20GMT	https://www.senbokuhome.co.jp/files/News/166/rel2_link_image/package-1.jpg	C:/My%20Web%20Sites/copysite_fame_kensetsu/www.senbokuhome.co.jp/files/News/166/rel2_link_image/package-1.jpg	(from https://www.senbokuhome.co.jp/news/detail/166)
13:47:10	85130/85130	---M--	200	added ('OK')	image/jpeg	date:Sat,%2001%20Feb%202020%2008:35:02%20GMT	https://www.senbokuhome.co.jp/files/News/166/rel3_link_image/Visitors_Book-1-1.jpg	C:/My%20Web%20Sites/copysite_fame_kensetsu/www.senbokuhome.co.jp/files/News/166/rel3_link_image/Visitors_Book-1-1.jpg	(from https://www.senbokuhome.co.jp/news/detail/166)
13:47:10	106605/106605	---M--	200	added ('OK')	image/jpeg	date:Fri,%2001%20May%202020%2003:54:03%20GMT	https://www.senbokuhome.co.jp/files/News/160/para1_file/news-2.jpg	C:/My%20Web%20Sites/copysite_fame_kensetsu/www.senbokuhome.co.jp/files/News/160/para1_file/news-2.jpg	(from https://www.senbokuhome.co.jp/news/detail/160)
13:47:10	1637105/1637105	---M--	200	added ('OK')	image/gif	date:Sat,%2001%20Feb%202020%2008:45:47%20GMT	https://www.senbokuhome.co.jp/files/News/166/para1_file/smile1555_tvcm-re.gif	C:/My%20Web%20Sites/copysite_fame_kensetsu/www.senbokuhome.co.jp/files/News/166/para1_file/smile1555_tvcm-re.gif	(from https://www.senbokuhome.co.jp/news/detail/166)
13:47:11	105991/105991	---M--	200	added ('OK')	image/jpeg	date:Mon,%2023%20Dec%202019%2003:04:34%20GMT	https://www.senbokuhome.co.jp/files/News/160/para2_file/smile1555.jpg	C:/My%20Web%20Sites/copysite_fame_kensetsu/www.senbokuhome.co.jp/files/News/160/para2_file/smile1555.jpg	(from https://www.senbokuhome.co.jp/news/detail/160)
13:47:11	58150/58150	---M--	200	added ('OK')	image/jpeg	date:Mon,%2023%20Dec%202019%2003:04:34%20GMT	https://www.senbokuhome.co.jp/files/News/160/rel1_link_image/document_request_smile.jpg	C:/My%20Web%20Sites/copysite_fame_kensetsu/www.senbokuhome.co.jp/files/News/160/rel1_link_image/document_request_smile.jpg	(from https://www.senbokuhome.co.jp/news/detail/160)
13:47:11	37694/37694	---M--	200	added ('OK')	image/jpeg	date:Mon,%2023%20Dec%202019%2003:04:34%20GMT	https://www.senbokuhome.co.jp/files/News/160/rel2_link_image/package-1.jpg	C:/My%20Web%20Sites/copysite_fame_kensetsu/www.senbokuhome.co.jp/files/News/160/rel2_link_image/package-1.jpg	(from https://www.senbokuhome.co.jp/news/detail/160)
13:47:11	85130/85130	---M--	200	added ('OK')	image/jpeg	date:Mon,%2023%20Dec%202019%2003:04:34%20GMT	https://www.senbokuhome.co.jp/files/News/160/rel3_link_image/Visitors_Book.jpg	C:/My%20Web%20Sites/copysite_fame_kensetsu/www.senbokuhome.co.jp/files/News/160/rel3_link_image/Visitors_Book.jpg	(from https://www.senbokuhome.co.jp/news/detail/160)
13:47:12	38855/38855	---M--	200	added ('OK')	image/png	date:Fri,%2010%20Jan%202020%2000:33:51%20GMT	https://www.senbokuhome.co.jp/files/News/162/para1_file/logo_senbokuhome.png	C:/My%20Web%20Sites/copysite_fame_kensetsu/www.senbokuhome.co.jp/files/News/162/para1_file/logo_senbokuhome.png	(from https://www.senbokuhome.co.jp/news/detail/162)
13:47:12	85130/85130	---M--	200	added ('OK')	image/jpeg	date:Wed,%2025%20Dec%202019%2007:43:24%20GMT	https://www.senbokuhome.co.jp/files/News/162/rel1_link_image/Visitors_Book-1-1-1-1.jpg	C:/My%20Web%20Sites/copysite_fame_kensetsu/www.senbokuhome.co.jp/files/News/162/rel1_link_image/Visitors_Book-1-1-1-1.jpg	(from https://www.senbokuhome.co.jp/news/detail/162)
13:47:12	37694/37694	---M--	200	added ('OK')	image/jpeg	date:Wed,%2025%20Dec%202019%2007:45:54%20GMT	https://www.senbokuhome.co.jp/files/News/162/rel2_link_image/package-1.jpg	C:/My%20Web%20Sites/copysite_fame_kensetsu/www.senbokuhome.co.jp/files/News/162/rel2_link_image/package-1.jpg	(from https://www.senbokuhome.co.jp/news/detail/162)
13:47:12	41544/41544	---M--	200	added ('OK')	image/jpeg	date:Wed,%2025%20Dec%202019%2007:45:54%20GMT	https://www.senbokuhome.co.jp/files/News/162/rel3_link_image/what-1.jpg	C:/My%20Web%20Sites/copysite_fame_kensetsu/www.senbokuhome.co.jp/files/News/162/rel3_link_image/what-1.jpg	(from https://www.senbokuhome.co.jp/news/detail/162)
13:47:13	123995/123995	---M--	200	added ('OK')	image/jpeg	date:Wed,%2025%20Dec%202019%2007:40:34%20GMT	https://www.senbokuhome.co.jp/files/News/161/para1_file/news-1.jpg	C:/My%20Web%20Sites/copysite_fame_kensetsu/www.senbokuhome.co.jp/files/News/161/para1_file/news-1.jpg	(from https://www.senbokuhome.co.jp/news/detail/161)
13:47:13	160212/160212	---M--	200	added ('OK')	image/jpeg	date:Wed,%2025%20Dec%202019%2002:26:55%20GMT	https://www.senbokuhome.co.jp/files/News/161/para2_file/news-5.jpg	C:/My%20Web%20Sites/copysite_fame_kensetsu/www.senbokuhome.co.jp/files/News/161/para2_file/news-5.jpg	(from https://www.senbokuhome.co.jp/news/detail/161)
13:47:13	62543/62543	---M--	200	added ('OK')	image/png	date:Wed,%2025%20Dec%202019%2007:40:34%20GMT	https://www.senbokuhome.co.jp/files/News/161/para3_file/logo_senbokuhome-1.png	C:/My%20Web%20Sites/copysite_fame_kensetsu/www.senbokuhome.co.jp/files/News/161/para3_file/logo_senbokuhome-1.png	(from https://www.senbokuhome.co.jp/news/detail/161)
13:47:13	85130/85130	---M--	200	added ('OK')	image/jpeg	date:Wed,%2025%20Dec%202019%2002:26:55%20GMT	https://www.senbokuhome.co.jp/files/News/161/rel1_link_image/Visitors_Book-1-1-1.jpg	C:/My%20Web%20Sites/copysite_fame_kensetsu/www.senbokuhome.co.jp/files/News/161/rel1_link_image/Visitors_Book-1-1-1.jpg	(from https://www.senbokuhome.co.jp/news/detail/161)
13:47:14	37694/37694	---M--	200	added ('OK')	image/jpeg	date:Wed,%2025%20Dec%202019%2002:26:55%20GMT	https://www.senbokuhome.co.jp/files/News/161/rel2_link_image/package.jpg	C:/My%20Web%20Sites/copysite_fame_kensetsu/www.senbokuhome.co.jp/files/News/161/rel2_link_image/package.jpg	(from https://www.senbokuhome.co.jp/news/detail/161)
13:47:14	41544/41544	---M--	200	added ('OK')	image/jpeg	date:Wed,%2025%20Dec%202019%2002:26:55%20GMT	https://www.senbokuhome.co.jp/files/News/161/rel3_link_image/what.jpg	C:/My%20Web%20Sites/copysite_fame_kensetsu/www.senbokuhome.co.jp/files/News/161/rel3_link_image/what.jpg	(from https://www.senbokuhome.co.jp/news/detail/161)
13:47:14	72846/72846	---M--	200	added ('OK')	image/jpeg	date:Sat,%2007%20Dec%202019%2006:37:47%20GMT	https://www.senbokuhome.co.jp/files/News/159/para1_file/news-1.jpg	C:/My%20Web%20Sites/copysite_fame_kensetsu/www.senbokuhome.co.jp/files/News/159/para1_file/news-1.jpg	(from https://www.senbokuhome.co.jp/news/detail/159)
13:47:15	121302/121302	---M--	200	added ('OK')	image/jpeg	date:Sat,%2007%20Dec%202019%2004:01:51%20GMT	https://www.senbokuhome.co.jp/files/News/159/para3_file/1.jpg	C:/My%20Web%20Sites/copysite_fame_kensetsu/www.senbokuhome.co.jp/files/News/159/para3_file/1.jpg	(from https://www.senbokuhome.co.jp/news/detail/159)
13:47:15	197003/197003	---M--	200	added ('OK')	image/jpeg	date:Sat,%2007%20Dec%202019%2006:37:48%20GMT	https://www.senbokuhome.co.jp/files/News/159/para2_file/news-2.jpg	C:/My%20Web%20Sites/copysite_fame_kensetsu/www.senbokuhome.co.jp/files/News/159/para2_file/news-2.jpg	(from https://www.senbokuhome.co.jp/news/detail/159)
13:47:15	85130/85130	---M--	200	added ('OK')	image/jpeg	date:Sat,%2007%20Dec%202019%2006:38:45%20GMT	https://www.senbokuhome.co.jp/files/News/159/rel2_link_image/Visitors_Book-1-1.jpg	C:/My%20Web%20Sites/copysite_fame_kensetsu/www.senbokuhome.co.jp/files/News/159/rel2_link_image/Visitors_Book-1-1.jpg	(from https://www.senbokuhome.co.jp/news/detail/159)
13:47:15	104963/104963	---M--	200	added ('OK')	image/jpeg	date:Sat,%2007%20Dec%202019%2006:38:45%20GMT	https://www.senbokuhome.co.jp/files/News/159/rel1_link_image/namba-model-1.jpg	C:/My%20Web%20Sites/copysite_fame_kensetsu/www.senbokuhome.co.jp/files/News/159/rel1_link_image/namba-model-1.jpg	(from https://www.senbokuhome.co.jp/news/detail/159)
13:47:16	37694/37694	---M--	200	added ('OK')	image/jpeg	date:Sat,%2007%20Dec%202019%2004:10:43%20GMT	https://www.senbokuhome.co.jp/files/News/159/rel3_link_image/package.jpg	C:/My%20Web%20Sites/copysite_fame_kensetsu/www.senbokuhome.co.jp/files/News/159/rel3_link_image/package.jpg	(from https://www.senbokuhome.co.jp/news/detail/159)
13:47:16	134683/134683	---M--	200	added ('OK')	image/jpeg	date:Sat,%2007%20Dec%202019%2001:28:34%20GMT	https://www.senbokuhome.co.jp/files/News/158/para1_file/news-1.jpg	C:/My%20Web%20Sites/copysite_fame_kensetsu/www.senbokuhome.co.jp/files/News/158/para1_file/news-1.jpg	(from https://www.senbokuhome.co.jp/news/detail/158)
13:47:16	225830/225830	---M--	200	added ('OK')	image/jpeg	date:Sat,%2007%20Dec%202019%2001:14:38%20GMT	https://www.senbokuhome.co.jp/files/News/158/para2_file/news-2.jpg	C:/My%20Web%20Sites/copysite_fame_kensetsu/www.senbokuhome.co.jp/files/News/158/para2_file/news-2.jpg	(from https://www.senbokuhome.co.jp/news/detail/158)
13:47:16	408357/408357	---M--	200	added ('OK')	image/jpeg	date:Sat,%2007%20Dec%202019%2001:56:58%20GMT	https://www.senbokuhome.co.jp/files/News/158/para3_file/news-3-2.jpg	C:/My%20Web%20Sites/copysite_fame_kensetsu/www.senbokuhome.co.jp/files/News/158/para3_file/news-3-2.jpg	(from https://www.senbokuhome.co.jp/news/detail/158)
13:47:16	98692/98692	---M--	200	added ('OK')	image/jpeg	date:Sat,%2007%20Dec%202019%2000:35:33%20GMT	https://www.senbokuhome.co.jp/files/News/158/rel1_link_image/main_showroom.jpg	C:/My%20Web%20Sites/copysite_fame_kensetsu/www.senbokuhome.co.jp/files/News/158/rel1_link_image/main_showroom.jpg	(from https://www.senbokuhome.co.jp/news/detail/158)
13:47:17	85130/85130	---M--	200	added ('OK')	image/jpeg	date:Sat,%2007%20Dec%202019%2000:35:33%20GMT	https://www.senbokuhome.co.jp/files/News/158/rel2_link_image/Visitors_Book.jpg	C:/My%20Web%20Sites/copysite_fame_kensetsu/www.senbokuhome.co.jp/files/News/158/rel2_link_image/Visitors_Book.jpg	(from https://www.senbokuhome.co.jp/news/detail/158)
